transaction_id,user_id,transaction_date,raw_timestamp,region,city,product_category,price,quantity,sale_amount,status,age,subscription,store_id,email,username
T19390,RM-19375,2017-01-19,2017-01-19 16:42:59,East,Burlington,Office Supplies,2.04,1,2.04,Pending,54,Premium,S07,raymond.messe@example.com, 
T17720,BG-11695,2015-01-05,2015-01-05 19:18:07,East,New York City,Office Supplies,19.84,3,59.52,Completed,29,Free,S12,brooke.gillingham@example.com,brooke87
T11757,TT-21460,2015-12-08,2015-12-08 08:17:59,Central,Fort Worth,Technology,286.4,6,1718.4,Completed,62,Free,S04,tonja.turnell@example.com,tonja20
T32733,MC-18100,2017-10-30,2017-10-30 14:53:43,East,Philadelphia,Furniture,3.58,2,7.168,Failed,34,Free,S01,,mick32
T17641,DB-13555,2017-03-02,2017-03-02 12:49:33,East,Newark,Office Supplies,11.34,6,68.04,Failed,68,Premium,S06,dorothy.badders@example.com,dorothy80
T18083,KH-16690,2015-10-26,2015-10-26 18:32:50,West,Springfield,Office Supplies,40.78,5,203.88,Failed,20,Basic,S02,kristen.hastings@example.com,kristen73
T12695,DL-12865,2014-10-15,2014-10-15 10:36:28,South,Hialeah,Furniture,15.38,1,15.384,Failed,28,Premium,S02,dan.lawera@example.com,dan35
T12837,GA-14725,2017-11-11,2017-11-11 19:25:01,West,Los Angeles,Office Supplies,6.48,3,19.44,Failed,51,Basic,S11,guy.armstrong@example.com,guy94
T15522,MS-17980,2017-12-04,2017-12-04 11:28:47,East,Philadelphia,Technology,63.99,4,255.968,Failed,52,Free,S08,michael.stewart@example.com,michael87
T18145,AZ-10750,2016-02-05,2016-02-05 16:57:59,West,San Diego,Technology,39.99,4,159.968,Failed,45,Premium,S04,annie.zypern@example.com,annie29
T19932,KH-16510,2015-11-13,2015-11-13 12:11:37,West,San Bernardino,Furniture,170.83,4,683.332,Failed,58,Premium,S03,keith.herrera@example.com,keith60
T18666,HJ-14875,2016-11-17,2016-11-17 17:13:17,West,San Francisco,Office Supplies,9.9,5,49.5,Pending,52,Basic,S09,,heather27
T19588,BM-11575,2017-04-17,2017-04-17 12:38:53,Central,Chicago,Office Supplies,48.78,4,195.136,Failed,57,Premium,S05,brendan.murry@example.com,brendan92
T12680,MH-18115,2017-01-21,2017-01-21 12:57:09,Central,Jackson,Office Supplies,2.88,5,14.4,Completed,41,Basic,S01,mick.hernandez@example.com,mick1
T10378,AR-10405,2017-08-27,2017-08-27 15:35:52,East,Franklin,Furniture,212.63,7,1488.424,Failed,57,Free,S01,,allen84
T13116,MS-17770,2016-08-23,2016-08-23 14:19:47,West,Seattle,Furniture,,6,532.704,Completed,21,Basic,S02,maxwell.schwartz@example.com,maxwell90
T11558,JW-16075,2016-05-09,2016-05-09 21:47:39,East,Philadelphia,Office Supplies,15.87,5,79.36,Failed,47,Free,S12,julia.west@example.com,julia81
T15771,SC-20440,2015-09-24,2015-09-24 09:26:39,West,Los Angeles,Furniture,4.97,3,14.91,Pending,68,Free,S01,shaun.chance@example.com,shaun67
T13465,ND-18370,2017-12-03,2017-12-03 18:10:03,South,Jacksonville,Technology,47.99,1,47.992,Failed,26,Free,S06,natalie.decherney@example.com,natalie53
T12184,CJ-12010,2016-05-07,2016-05-07 16:16:15,East,New York City,Technology,,5,199.95,Pending,33,Free,S04,caroline.jumper@example.com,caroline83
T17551,KH-16330,2014-11-20,2014-11-20 17:34:57,East,New York City,Office Supplies,11.58,3,34.74,Completed,23,Free,S04,katharine.harms@example.com, 
T11901,Co-12640,2016-06-29,2016-06-29 15:19:30,South,Florence,Office Supplies,31.98,6,191.88,Failed,45,Basic,S03,corey-lock.corey-lock@example.com,corey-lock39
T17485,CS-12400,2017-12-28,2017-12-28 20:17:12,Central,Fargo,Office Supplies,2.48,1,2.48,Failed,24,Premium,S05,christopher.schild@example.com,christopher45
T13993,DB-13120,2015-05-01,2015-05-01 14:22:43,South,Tampa,Office Supplies,13.79,3,41.376,Failed,68,Basic,S06,david.bremer@example.com,david11
T12288,BB-10990,2017-06-01,2017-06-01 14:26:19,East,Toledo,Office Supplies,3.5,5,17.48,Failed,41,Free,S05,barry.blumstein@example.com,barry61
T14051,GA-14515,2017-06-24,2017-06-24 21:41:15,East,New York City,Furniture,86.38,2,172.764,Completed,57,Premium,S10,george.ashbrook@example.com,george67
T18403,BD-11635,2015-12-05,2015-12-05 12:48:39,East,New York City,Office Supplies,11.34,2,22.68,Completed,42,Premium,S10,brian.derr@example.com, 
T17348,DV-13045,2017-12-11,2017-12-11 15:19:47,South,Jacksonville,Furniture,64.78,1,64.784,Failed,65,Free,S05,,darrin6
T19890,VG-21805,2017-03-19,2017-03-19 08:34:26,East,Lakewood,Office Supplies,2.98,3,8.94,Pending,41,Premium,S06,vivek.grady@example.com,vivek12
T16720,SF-20065,2016-12-16,2016-12-16 16:08:56,South,Goldsboro,Office Supplies,11.65,3,34.944,Completed,60,Premium,S01,sandra.flanagan@example.com,sandra2
T15570,SU-20665,2017-03-13,2017-03-13 08:45:53,Central,Chicago,Office Supplies,5.18,3,15.552,Failed,63,Premium,S05,stephanie.ulpright@example.com,stephanie56
T18605,CA-12310,2016-01-03,2016-01-03 08:01:35,Central,San Antonio,Technology,55.2,3,165.6,Failed,58,Basic,S09,christine.abelman@example.com,christine26
T16407,BW-11110,2017-08-31,2017-08-31 11:04:03,West,Spokane,Office Supplies,21.39,7,149.73,Pending,37,Free,S08,bart.watters@example.com,bart18
T10804,MC-18130,2016-03-12,2016-03-12 19:12:15,South,Monroe,Office Supplies,6.48,2,12.96,Pending,68,Basic,S02,mike.caudle@example.com,mike78
T17382,AG-10270,2016-09-13,2016-09-13 20:50:35,Central,Omaha,Technology,29.99,5,149.95,Failed,38,Premium,S01,alejandro.grove@example.com,alejandro40
T37669,JE-15745,2015-05-21,2015-05-21 17:06:28,Central,Frankfort,Office Supplies,2.6,8,20.768,Completed,52,Basic,S06,joel.eaton@example.com,joel48
T15607,FM-14215,2016-09-20,2016-09-20 13:47:43,South,Greensboro,Furniture,98.39,1,98.392,Completed,37,Basic,S07,filia.mcadams@example.com,filia7
T14547,RL-19615,2015-07-12,2015-07-12 17:39:24,Central,Chicago,Office Supplies,0.96,2,1.928,Completed,20,Basic,S02,rob.lucas@example.com,rob90
T14937,DP-13390,2017-01-06,2017-01-06 15:53:36,South,Tuscaloosa,Office Supplies,4.82,7,33.74,Failed,25,Basic,S07,dennis.pardue@example.com,dennis58
T12761,Dp-13240,2014-05-26,2014-05-26 15:38:17,West,Murray,Office Supplies,9.68,5,48.4,Pending,34,Basic,S10,dean.percer@example.com, 
T10882,DK-13090,2015-10-09,2015-10-09 10:12:26,South,Springfield,Office Supplies,15.42,2,30.84,Pending,41,Basic,S11,dave.kipp@example.com,dave33
T10531,MG-18145,2015-09-03,2015-09-03 15:24:04,East,Philadelphia,Office Supplies,8.75,6,52.512,Failed,62,Free,S03,mike.gockenbach@example.com,mike89
T11955,AC-10615,2017-09-02,2017-09-02 20:50:15,East,New York City,Office Supplies,1.64,3,4.92,Failed,55,Free,S01,ann.chong@example.com,ann54
T11656,CD-12280,2017-11-18,2017-11-18 17:48:34,West,Seattle,Office Supplies,,2,8.448,Failed,27,Free,S05,christina.demoss@example.com,christina70
T19611,SC-20095,2016-05-16,2016-05-16 19:22:29,West,Los Angeles,Office Supplies,3.08,9,27.72,Failed,57,Premium,S08,sanjit.chand@example.com,sanjit93
T14323,KB-16315,2015-02-14,2015-02-14 09:22:54,East,Akron,Technology,107.99,3,323.982,,67,Premium,S03,karl.braun@example.com,karl9
T18192,CC-12370,2017-11-17,2017-11-17 20:56:52,East,New York City,Furniture,46.94,4,187.76,Failed,53,Premium,S07,christopher.conant@example.com,christopher52
T19052,DK-12835,2014-03-26,2014-03-26 17:11:09,West,San Francisco,Office Supplies,1.68,2,3.36,Failed,69,Free,S02,damala.kotsonis@example.com,damala8
T16321,SP-20860,2017-09-28,2017-09-28 16:49:55,South,Jacksonville,Office Supplies,5.18,2,10.368,Failed,47,Free,S02,sung.pak@example.com,sung85
T15135,FG-14260,2017-11-26,2017-11-26 19:25:32,East,New York City,Office Supplies,23.34,4,93.344,,47,Free,S02,frank.gastineau@example.com,frank94
T13946,AF-10870,2017-11-18,2017-11-18 08:44:02,South,Homestead,Office Supplies,44.38,1,44.384,Completed,46,Basic,S07,art.ferguson@example.com,art92
T10039,SN-20710,2015-12-27,2015-12-27 14:04:42,Central,Houston,Furniture,177.47,3,532.3992,Pending,60,Basic,S06,steve.nguyen@example.com,steve80
T15133,EP-13915,2015-06-21,2015-06-21 08:18:27,South,Deltona,Technology,35.99,3,107.976,Failed,29,Basic,S08,emily.phan@example.com,emily58
T15253,TT-21220,2015-10-30,2015-10-30 14:08:15,South,Virginia Beach,Office Supplies,60.97,3,182.91,Failed,63,Premium,S11,thomas.thornton@example.com,thomas23
T10056,TB-21055,2016-06-17,2016-06-17 12:06:37,East,Troy,Office Supplies,34.76,6,208.56,Completed,22,Premium,S12,ted.butterfield@example.com,ted40
T19649,MW-18220,2014-11-19,2014-11-19 16:20:23,Central,Coon Rapids,Technology,93.99,3,281.97,Completed,37,Free,S02,mitch.webber@example.com,mitch4
T15382,DM-13525,2016-09-05,2016-09-05 19:22:46,Central,Houston,Office Supplies,5.18,5,25.92,Pending,63,Premium,S03,don.miller@example.com,don99
T10211,JH-15985,2017-12-01,2017-12-01 13:20:26,Central,Saginaw,Office Supplies,91.99,1,91.99,Failed,44,Basic,S03,joseph.holt@example.com, 
T11795,BE-11455,2016-09-05,2016-09-05 09:22:41,Central,Olathe,Office Supplies,35.98,3,107.94,Completed,63,Free,S08,brad.eason@example.com,brad71
T19442,RE-19405,2014-12-29,2014-12-29 21:40:03,East,Kent,Office Supplies,9.67,5,48.36,Pending,32,Free,S10,ricardo.emerson@example.com,ricardo23
T15515,EN-13780,2015-05-30,2015-05-30 14:17:45,East,New York City,Office Supplies,80.16,2,160.32,Failed,48,Free,S12,edward.nazzal@example.com,edward27
T14145,EH-14125,2017-01-30,2017-01-30 21:40:35,West,San Francisco,Office Supplies,,3,8.82,Pending,53,Basic,S02,eugene.hildebrand@example.com,eugene82
T15925,RB-19435,2017-11-19,2017-11-19 17:51:14,South,Springfield,Office Supplies,3.28,7,22.96,Failed,63,Free,S04,richard.bierner@example.com,richard80
T12386,CV-12295,2017-03-25,2017-03-25 16:41:45,West,Fresno,Technology,52.79,4,211.168,Pending,69,Premium,S07,christina.vanderzanden@example.com,christina90
T18016,TB-21625,2017-05-25,2017-05-25 14:16:12,East,New York City,Furniture,6.28,3,18.84,Failed,48,Free,S08,trudy.brown@example.com,trudy93
T11342,AS-10045,2017-01-02,2017-01-02 14:11:37,South,Jacksonville,Office Supplies,3.13,5,15.66,Pending,61,Premium,S07,aaron.smayling@example.com,aaron60
T12678,SV-20785,2014-06-21,2014-06-21 15:45:53,West,Pueblo,Office Supplies,1.58,7,11.088,Pending,36,Premium,S08,stewart.visinsky@example.com,stewart49
T19167,MJ-17740,2016-06-24,2016-06-24 14:30:48,West,San Diego,Office Supplies,104.85,1,104.85,Failed,34,Free,S12,max.jones@example.com,max26
T13699,ON-18715,2014-09-13,2014-09-13 20:34:31,West,Tempe,Office Supplies,15.88,5,79.4,Failed,36,Basic,S06,odella.nelson@example.com,odella65
T15325,TZ-21580,2015-12-04,2015-12-04 14:31:52,West,Lakewood,Office Supplies,3.38,5,16.9,Pending,65,Basic,S08,tracy.zic@example.com,tracy36
T16796,MC-17605,2015-11-16,2015-11-16 09:40:34,Central,Chicago,Furniture,17.25,2,34.504,,28,Premium,S03,matt.connell@example.com,matt67
T17983,SF-20065,2014-09-10,2014-09-10 13:49:58,East,Clifton,Furniture,50.98,5,254.9,Completed,31,Basic,S10,sandra.flanagan@example.com,sandra50
T14091,TB-21175,2016-04-01,2016-04-01 21:30:03,East,New York City,Office Supplies,3.65,3,10.95,Pending,61,Free,S05,thomas.boland@example.com,thomas4
T12043,EB-13705,2015-10-02,2015-10-02 20:35:00,West,San Diego,Office Supplies,9.58,6,57.504,Pending,52,Free,S02,ed.braxton@example.com,ed35
T16839,FC-14335,2017-02-05,2017-02-05 09:15:37,West,Torrance,Office Supplies,328.14,5,1640.7,Failed,67,Free,S12,fred.chung@example.com,fred61
T14975,PS-19045,2016-11-07,2016-11-07 11:21:22,West,Oceanside,Office Supplies,6.45,2,12.9,Failed,54,Premium,S04,penelope.sewall@example.com,penelope54
T14539,VF-21715,2017-07-08,2017-07-08 17:27:16,West,Seattle,Office Supplies,3.28,4,13.12,Completed,34,Premium,S08,vicky.freymann@example.com,vicky41
T12440,SW-20455,2017-07-17,2017-07-17 10:54:26,South,Tampa,Furniture,3.95,2,7.904,Completed,19,Premium,S08,shaun.weien@example.com,shaun28
T10140,LC-16885,2016-10-13,2016-10-13 10:53:27,West,Roseville,Furniture,3.08,14,43.12,Pending,50,Basic,S04,lena.creighton@example.com,lena29
T14190,CS-12175,2016-09-26,2016-09-26 11:49:11,Central,Iowa City,Office Supplies,9.99,1,9.99,Completed,39,Basic,S11,charles.sheldon@example.com,charles22
T15728,JP-15520,2017-12-08,2017-12-08 14:22:34,Central,Madison,Technology,59.37,3,178.11,Completed,20,Premium,S07,jeremy.pistek@example.com,jeremy14
T13587,AG-10300,2017-09-03,2017-09-03 15:05:24,West,San Francisco,Office Supplies,2.98,2,5.96,Failed,58,Basic,S10,aleksandra.gannaway@example.com,aleksandra68
T10894,TH-21550,2017-06-26,2017-06-26 14:06:46,Central,Detroit,Technology,67.99,8,543.92,Completed,70,Free,S11,tracy.hopkins@example.com, 
T11375,CA-12265,2015-09-14,2015-09-14 12:40:15,West,Provo,Furniture,182.55,5,912.75,Completed,43,Basic,S12,christina.anderson@example.com,christina82
T10031,TB-21520,2015-09-17,17/9/2015 19.27,East,Philadelphia,Office Supplies,1.63,2,3.264,,41,Premium,S09,tracy.blumstein@example.com,tracy10
T15284,Dl-13600,2014-03-30,2014-03-30 11:52:36,West,Seattle,Office Supplies,5.28,3,15.84,Pending,51,Premium,S09,dorris.liebe@example.com,dorris95
T16544,CC-12220,2017-11-16,2017-11-16 21:43:19,West,Seattle,Office Supplies,33.29,1,33.29,Pending,23,Free,S01,chris.cortes@example.com,chris8
T10811,ZC-21910,2014-10-13,2014-10-13 08:44:42,West,Edmonds,Furniture,259.71,5,1298.55,Failed,60,Free,S01,zuschuss.carroll@example.com,zuschuss34
T16893,SS-20140,2017-09-18,2017-09-18 13:43:31,South,Columbus,Office Supplies,6.48,4,25.92,Completed,59,Free,S09,saphhira.shifley@example.com,saphhira60
T17676,TS-21655,2017-05-06,2017-05-06 15:27:55,West,Rancho Cucamonga,Office Supplies,50.98,3,152.94,Failed,61,Basic,S12,trudy.schmidt@example.com,trudy61
T12812,MP-18175,2015-11-16,2015-11-16 13:51:13,Central,Milwaukee,Furniture,30.93,6,185.58,,56,Free,S07,mike.pelletier@example.com,mike56
T10294,KL-16555,2014-12-26,2014-12-26 12:11:01,West,Colorado Springs,Furniture,37.55,8,300.416,Pending,51,Basic,S10,,kelly29
T19328,PF-19225,2017-09-07,2017-09-07 09:27:38,West,Edmonds,Technology,,2,455.712,Pending,39,Premium,S11,phillip.flathmann@example.com,phillip81
T36476,SV-20785,2015-10-20,2015-10-20 21:22:12,West,Los Angeles,Furniture,10.68,7,74.76,Pending,32,Basic,S12,stewart.visinsky@example.com,stewart16
T17460,LL-16840,2015-04-16,2015-04-16 21:40:18,South,Waynesboro,Furniture,58.14,9,523.26,Failed,45,Premium,S01,lauren.leatherbury@example.com,lauren88
T15828,KB-16405,2017-09-03,2017-09-03 09:28:31,East,New York City,Furniture,90.88,2,181.764,Pending,40,Basic,S04,,katrina9
T18039,JC-15775,2017-06-30,2017-06-30 19:17:08,West,Los Angeles,Furniture,145.33,3,435.999,Failed,18,Premium,S12,john.castell@example.com,john34
T19972,MP-17470,2015-06-28,2015-06-28 18:31:06,South,Smyrna,Office Supplies,28.15,5,140.75,Failed,46,Free,S05,mark.packer@example.com,mark91
T12259,TS-21610,2017-06-16,2017-06-16 21:40:22,West,San Francisco,Office Supplies,9.27,2,18.54,Completed,25,Premium,S04,,troy96
T18072,JM-15250,2017-01-01,2017-01-01 14:35:08,Central,Huntsville,Furniture,77.69,4,310.744,Pending,59,Free,S10,janet.martin@example.com,janet11
T18560,LA-16780,2016-12-23,2016-12-23 16:12:49,Central,Houston,Technology,95.96,3,287.88,Pending,37,Free,S04,laura.armstrong@example.com,laura82
T18281,MC-17605,2017-05-09,2017-05-09 14:26:22,South,Jacksonville,Office Supplies,21.74,3,65.232,Completed,62,Premium,S03,matt.connell@example.com,matt56
T10246,DW-13480,2014-06-01,2014-06-01 15:40:34,Central,Lakeville,Office Supplies,83.36,2,166.72,Completed,38,Basic,S10,dianna.wilson@example.com,dianna83
T10740,PO-19195,2014-01-04,2014-01-04 13:59:12,Central,Naperville,Office Supplies,3.93,3,11.784,Completed,23,Premium,S11,phillina.ober@example.com,phillina29
T18746,HD-14785,2015-11-22,2015-11-22 15:41:31,East,Cambridge,Office Supplies,19.98,3,59.94,Completed,27,Free,S07,harold.dahlen@example.com,harold8
T14801,MK-17905,2016-05-14,2016-05-14 12:21:52,South,Jacksonville,Office Supplies,2.38,2,4.768,Pending,39,Basic,S12,michael.kennedy@example.com,michael73
T16863,PS-18760,2017-04-17,2017-04-17 20:09:17,West,Los Angeles,Furniture,72.78,3,218.352,Failed,61,Free,S05,pamela.stobb@example.com,pamela94
T16463,AJ-10780,2017-05-14,2017-05-14 09:09:21,East,Baltimore,Furniture,130.98,2,261.96,Failed,36,Free,S03,anthony.jacobs@example.com,anthony75
T16657,KM-16375,2017-02-20,2017-02-20 15:36:27,West,Gilbert,Office Supplies,25.58,2,51.168,Pending,62,Basic,S08,katherine.murray@example.com,katherine97
T16053,JS-15940,2016-09-23,2016-09-23 09:51:00,East,Lancaster,Office Supplies,3.98,3,11.952,Pending,44,Premium,S01,joni.sundaresam@example.com,joni88
T11601,AB-10150,2017-11-19,2017-11-19 13:42:32,Central,Carrollton,Furniture,8.0,2,15.992,Completed,30,Free,S05,aimee.bixby@example.com,aimee31
T13365,MC-17425,2016-07-16,2016-07-16 09:16:06,Central,Houston,Furniture,3.18,3,9.552,Failed,54,Free,S02,mark.cousins@example.com,mark78
T15729,JP-15520,2017-12-08,2017-12-08 21:04:43,Central,Madison,Office Supplies,363.25,3,1089.75,,54,Basic,S04,jeremy.pistek@example.com, 
T16398,AH-10120,2017-10-31,2017-10-31 19:41:41,Central,Dallas,Office Supplies,2.62,2,5.248,Failed,19,Basic,S04,adrian.hane@example.com,adrian62
T19329,PF-19225,2017-09-07,2017-09-07 17:32:12,West,Edmonds,Office Supplies,25.98,1,25.98,,30,Premium,S08,phillip.flathmann@example.com,phillip45
T11417,SV-20815,2015-09-21,2015-09-21 09:05:05,Central,Houston,Technology,135.19,7,946.344,Failed,59,Free,S01,stuart.van@example.com,stuart2
T18249,CS-12400,2016-05-10,2016-05-10 18:45:18,East,Philadelphia,Technology,371.99,2,743.988,Failed,49,Free,S04,christopher.schild@example.com,christopher26
T18486,BD-11560,2017-03-27,2017-03-27 13:58:14,West,Fresno,Office Supplies,22.84,2,45.68,Completed,21,Free,S06,brendan.dodson@example.com,brendan79
T10557,OT-18730,2016-06-10,2016-06-10 12:29:42,West,Los Angeles,Office Supplies,10.35,2,20.7,Failed,67,Basic,S05,olvera.toch@example.com,olvera82
T19456,JL-15175,2016-06-16,2016-06-16 17:09:50,South,Chattanooga,Technology,91.47,1,91.475,Failed,53,Basic,S07,james.lanier@example.com,james67
T12697,SM-20320,2014-03-18,2014-03-18 17:10:01,South,Jacksonville,Technology,205.32,4,821.3,Pending,29,Basic,S09,sean.miller@example.com,sean60
T13588,MH-18115,2017-09-24,2017-09-24 15:47:16,East,Lancaster,Technology,389.9,3,1169.694,Completed,31,Premium,S09,mick.hernandez@example.com,mick93
T14850,MC-17275,2014-09-08,2014-09-08 19:46:31,West,Pasco,Office Supplies,2.94,2,5.88,Failed,23,Basic,S10,marc.crier@example.com,marc46
T12158,DV-13465,2014-06-22,2014-06-22 16:58:32,Central,Minneapolis,Office Supplies,,3,161.94,Failed,53,Basic,S01,dianna.vittorini@example.com,dianna98
T16707,SC-20695,2016-09-10,2016-09-10 19:28:31,South,Fort Lauderdale,Technology,74.24,7,519.68,Failed,62,Basic,S12,steve.chapman@example.com,steve44
T18431,NC-18340,2014-03-30,2014-03-30 16:59:37,Central,Apple Valley,Office Supplies,64.65,2,129.3,Completed,50,Basic,S08,nat.carroll@example.com,nat6
T17204,MG-17890,2014-12-29,2014-12-29 08:21:27,Central,Saint Charles,Furniture,2.91,3,8.736,Completed,59,Free,S10,michael.granlund@example.com,michael1
T13736,RM-19750,2017-03-06,2017-03-06 14:19:31,East,New York City,Furniture,23.99,3,71.97,Pending,61,Basic,S06,roland.murray@example.com,roland53
T37505,MY-17380,2017-10-16,2017-10-16 09:10:03,East,New York City,Furniture,42.1,13,547.3,Completed,31,Basic,S12,maribeth.yedwab@example.com,maribeth86
T12076,TR-21325,2014-12-01,2014-12-01 12:05:18,West,San Francisco,Furniture,19.4,3,58.2,Pending,28,Premium,S08,toby.ritter@example.com,toby23
T16570,KM-16720,2014-04-18,2014-04-18 09:42:33,Central,Houston,Furniture,105.69,3,317.058,Pending,24,Basic,S11,kunst.miller@example.com,kunst57
T15188,ZC-21910,2015-09-13,2015-09-13 18:55:39,Central,Columbus,Technology,49.99,4,199.96,Failed,54,Premium,S03,zuschuss.carroll@example.com,zuschuss60
T12684,MH-18115,2017-01-21,2017-01-21 16:31:12,Central,Jackson,Technology,164.99,1,164.99,Pending,29,Premium,S02,mick.hernandez@example.com,mick90
T13125,JE-15610,2015-06-11,2015-06-11 20:30:03,South,Lakeland,Office Supplies,518.31,2,1036.624,Completed,56,Free,S04,jim.epp@example.com,jim82
T15879,FG-14260,2014-05-21,2014-05-21 09:59:44,East,Lawrence,Office Supplies,40.98,6,245.88,Failed,52,Basic,S01,frank.gastineau@example.com,frank95
T11954,AC-10615,2017-09-02,2017-09-02 15:00:09,East,New York City,Furniture,256.48,5,1282.41,Completed,20,Premium,S06,ann.chong@example.com,ann58
T11739,DB-13120,2015-09-03,2015-09-03 11:42:12,West,San Francisco,Technology,8.95,2,17.9,Completed,18,Basic,S08,david.bremer@example.com,david37
T17994,MM-18055,2015-11-20,2015-11-20 19:24:19,West,Aurora,Office Supplies,1.63,3,4.896,,55,Basic,S09,michelle.moray@example.com,michelle53
T10646,CC-12430,2017-12-30,2017-12-30 08:33:12,Central,Columbus,Office Supplies,104.65,2,209.3,Pending,38,Free,S11,chuck.clark@example.com,chuck19
T15031,VG-21790,2017-01-29,2017-01-29 13:00:29,West,San Francisco,Office Supplies,8.57,1,8.57,Completed,46,Free,S10,vivek.gonzalez@example.com,vivek36
T15703,SS-20875,2014-12-14,2014-12-14 13:28:32,East,Marion,Office Supplies,2.62,1,2.624,Failed,28,Premium,S10,sung.shariari@example.com,sung55
T17582,EJ-13720,2015-08-13,2015-08-13 20:04:23,East,Philadelphia,Office Supplies,140.95,3,422.856,Failed,49,Free,S10,ed.jacobs@example.com,ed41
T15288,LH-17020,2017-05-05,2017-05-05 12:43:51,West,Louisville,Furniture,30.0,3,89.991,Failed,35,Premium,S05,lisa.hazard@example.com,lisa88
T13254,MA-17560,2017-10-27,2017-10-27 21:48:56,Central,Chicago,Technology,,2,27.184,Pending,19,Basic,S03,matt.abelman@example.com,matt31
T10050,DP-13000,2015-04-18,2015-04-18 15:00:22,Central,New Albany,Office Supplies,6.37,6,38.22,Failed,69,Premium,S04,darren.powers@example.com,darren50
T19801,CS-12490,2015-01-12,2015-01-12 19:09:33,East,Toledo,Technology,35.71,3,107.118,Completed,64,Basic,S02,cindy.schnelling@example.com,cindy46
T15865,RS-19420,2014-08-05,2014-08-05 16:54:23,East,Meriden,Office Supplies,26.49,3,79.47,Pending,43,Basic,S06,ricardo.sperren@example.com,ricardo92
T18501,AB-10150,2014-03-05,2014-03-05 18:56:14,East,Yonkers,Office Supplies,48.91,2,97.82,Pending,30,Free,S03,aimee.bixby@example.com,aimee14
